Boid,Speed
Boid178,4.00011,0.4618033
Boid179,2.050359,0.4618033
Boid180,4.296989,0.4618033
Boid181,2.07079,0.4618033
Boid182,1.862803,0.4618033
Boid183,3.42367,0.4618033
Boid184,2.689598,0.4618033
Boid185,3.770129,0.4618033
Boid186,4.013979,0.4618033
Boid187,2.7809,0.4618033
Boid188,2.445101,0.4618033
Boid189,3.948883,0.4618033
Boid190,2.010038,0.4618033
Boid191,3.984172,0.4618033
Boid192,2.569504,0.4618033
Boid193,2.754972,0.4618033
Boid194,3.439439,0.4618033
Boid195,4.607471,0.4618033
Boid196,3.052516,0.4618033
Boid197,1.818848,0.4618033
Boid198,4.861489,0.4618033
Boid199,2.005961,0.4618033
Boid200,4.206324,0.4618033
Boid201,3.501711,0.4618033
Boid202,4.514385,0.4618033
Boid203,4.557882,0.4618033
Boid204,2.071593,0.4618033
Boid205,3.965532,0.4618033
Boid206,1.452753,0.4618033
Boid207,1.337617,0.4618033
Boid208,2.220838,0.4618033
Boid209,2.549293,0.4618033
Boid210,2.72446,0.4618033
Boid211,2.924084,0.4618033
Boid212,3.466413,0.4618033
Boid213,4.39592,0.4618033
Boid214,4.842599,0.4618033
Boid215,2.859505,0.4618033
