boid-i, boid-j, timeElapsed
Boid31,Boid15,.740
Boid32,Boid9,.740
Boid33,Boid15,.740
Boid34,Boid15,.740
Boid35,Boid9,.740
Boid36,Boid15,.740
Boid37,Boid15,.740
Boid38,Boid9,.740
Boid39,Boid15,.740
Boid40,Boid31,.740
Boid41,Boid15,.740
Boid42,Boid15,.740
Boid43,Boid22,.740
Boid44,Boid22,.740
Boid45,Boid15,.740
Boid46,Boid15,.740
Boid47,Boid9,.740
Boid48,Boid15,.740
Boid49,Boid15,.740
Boid0,Boid25,.760
Boid1,Boid25,.760
Boid2,Boid19,.760
Boid3,Boid27,.760
Boid4,Boid5,.760
Boid5,Boid7,.760
Boid6,Boid19,.760
Boid7,Boid14,.760
Boid8,Boid0,.760
Boid9,Boid7,.760
Boid10,Boid19,.760
Boid11,Boid25,.760
Boid12,Boid19,.760
Boid13,Boid0,.760
Boid14,Boid7,.760
Boid15,Boid0,.760
Boid16,Boid10,.760
Boid17,Boid7,.760
Boid18,Boid15,.760
Boid19,Boid7,.760
Boid20,Boid0,.760
Boid21,Boid7,.760
Boid22,Boid14,.760
Boid23,Boid11,.760
Boid24,Boid7,.760
Boid25,Boid19,.760
Boid26,Boid0,.760
Boid27,Boid0,.760
Boid28,Boid0,.760
Boid29,Boid0,.760
Boid30,Boid19,.760
Boid31,Boid11,.760
Boid32,Boid7,.760
Boid33,Boid0,.760
Boid34,Boid11,.760
Boid35,Boid14,.760
Boid36,Boid49,.760
Boid37,Boid42,.760
Boid38,Boid7,.760
Boid39,Boid0,.760
Boid40,Boid11,.760
Boid41,Boid11,.760
Boid42,Boid41,.760
Boid43,Boid19,.760
Boid44,Boid19,.760
Boid45,Boid0,.760
Boid46,Boid0,.760
Boid47,Boid19,.760
Boid48,Boid11,.760
Boid49,Boid11,.760
Boid0,Boid25,.792
Boid1,Boid25,.792
Boid2,Boid5,.792
Boid3,Boid48,.792
Boid4,Boid17,.792
Boid5,Boid4,.792
Boid6,Boid47,.792
Boid7,Boid17,.792
Boid8,Boid48,.792
Boid9,Boid4,.792
Boid10,Boid5,.792
Boid11,Boid25,.792
Boid12,Boid38,.792
Boid13,Boid0,.792
Boid14,Boid17,.792
Boid15,Boid0,.792
Boid16,Boid30,.792
Boid17,Boid4,.792
Boid18,Boid46,.792
Boid19,Boid17,.792
Boid20,Boid0,.792
Boid21,Boid9,.792
Boid22,Boid4,.792
Boid23,Boid0,.792
Boid24,Boid4,.792
Boid25,Boid4,.792
Boid26,Boid0,.792
Boid27,Boid0,.792
Boid28,Boid0,.792
Boid29,Boid0,.792
Boid30,Boid5,.792
Boid31,Boid0,.792
Boid32,Boid4,.792
Boid33,Boid0,.792
Boid34,Boid0,.792
Boid35,Boid32,.792
Boid36,Boid49,.792
Boid37,Boid48,.792
Boid38,Boid4,.792
Boid39,Boid0,.792
Boid40,Boid11,.792
Boid41,Boid0,.792
Boid42,Boid41,.792
Boid43,Boid47,.792
Boid44,Boid22,.792
Boid45,Boid41,.792
Boid46,Boid0,.792
Boid47,Boid4,.792
Boid48,Boid0,.792
Boid49,Boid41,.792
Boid0,Boid25,.813
Boid1,Boid25,.813
Boid2,Boid19,.813
Boid3,Boid18,.813
Boid4,Boid17,.813
Boid5,Boid4,.813
Boid6,Boid47,.813
Boid7,Boid17,.813
Boid8,Boid3,.813
Boid9,Boid4,.813
Boid10,Boid5,.813
Boid11,Boid25,.813
Boid12,Boid19,.813
Boid13,Boid15,.813
Boid14,Boid17,.813
Boid15,Boid18,.813
Boid16,Boid29,.813
Boid17,Boid4,.813
Boid18,Boid15,.813
Boid19,Boid32,.813
Boid20,Boid15,.813
Boid21,Boid9,.813
Boid22,Boid4,.813
Boid23,Boid15,.813
Boid24,Boid4,.813
Boid25,Boid4,.813
Boid26,Boid3,.813
Boid27,Boid3,.813
Boid28,Boid3,.813
Boid29,Boid3,.813
Boid30,Boid5,.813
Boid31,Boid15,.813
Boid32,Boid4,.813
Boid33,Boid15,.813
Boid34,Boid15,.813
Boid35,Boid32,.813
Boid36,Boid15,.813
Boid37,Boid15,.813
Boid38,Boid4,.813
Boid39,Boid15,.813
Boid40,Boid42,.813
Boid41,Boid15,.813
Boid42,Boid15,.813
Boid43,Boid47,.813
Boid44,Boid22,.813
Boid45,Boid15,.813
Boid46,Boid15,.813
Boid47,Boid4,.813
Boid48,Boid15,.813
Boid49,Boid15,.813
Boid0,Boid25,.836
Boid1,Boid25,.836
Boid2,Boid22,.836
Boid3,Boid13,.836
Boid4,Boid17,.836
Boid5,Boid4,.836
Boid6,Boid22,.836
Boid7,Boid17,.836
Boid8,Boid13,.836
Boid9,Boid4,.836
Boid10,Boid22,.836
Boid11,Boid25,.836
Boid12,Boid22,.836
Boid13,Boid8,.836
Boid14,Boid17,.836
Boid15,Boid13,.836
Boid16,Boid8,.836
Boid17,Boid4,.836
Boid18,Boid3,.836
Boid19,Boid32,.836
