Boid,Speed
Boid182,4.009703,0.3533334
Boid183,1.493801,0.3533334
Boid184,1.148822,0.3533334
Boid185,3.384699,0.3533334
Boid186,3.148868,0.3533334
Boid187,1.39781,0.3533334
Boid188,3.508262,0.3533334
Boid189,3.159745,0.3533334
Boid190,4.270021,0.3533334
Boid191,2.319576,0.3533334
Boid192,3.806767,0.3533334
Boid193,3.498536,0.3533334
Boid194,2.300755,0.3533334
Boid195,4.465957,0.3533334
Boid196,2.882751,0.3533334
Boid197,3.739504,0.3533334
Boid198,1.802254,0.3533334
Boid199,2.970486,0.3533334
Boid200,4.406697,0.3533334
Boid201,2.240419,0.3533334
Boid202,4.825507,0.3533334
Boid203,2.183695,0.3533334
Boid204,3.041467,0.3533334
Boid205,4.21138,0.3533334
Boid206,1.465398,0.3533334
Boid207,1.210506,0.3533334
Boid208,3.022111,0.3533334
Boid209,1.512933,0.3533334
Boid210,1.733395,0.3533334
Boid211,2.703506,0.3533334
Boid212,2.540346,0.3533334
Boid213,2.389191,0.3533334
Boid214,3.623488,0.3533334
Boid215,4.052321,0.3533334
Boid216,3.266933,0.3533334
Boid217,2.061637,0.3533334
Boid218,2.067494,0.3533334
Boid219,4.184099,0.3533334
Boid220,2.994009,0.3533334
Boid221,2.582658,0.3533334
Boid222,4.442437,0.3533334
Boid223,4.48625,0.3533334
Boid224,4.653116,0.3533334
Boid225,2.899163,0.3533334
Boid226,1.996029,0.3533334
Boid227,3.397926,0.3533334
Boid228,3.148134,0.3533334
Boid229,1.358971,0.3533334
Boid230,2.173321,0.3533334
Boid231,2.00972,0.3533334
Boid232,1.539674,0.3533334
Boid233,3.135225,0.3533334
Boid234,2.795009,0.3533334
Boid235,3.812591,0.3533334
Boid236,3.418967,0.3533334
Boid237,2.341878,0.3533334
Boid238,3.140922,0.3533334
Boid239,4.413314,0.3533334
Boid240,1.067353,0.3533334
Boid241,3.490057,0.3533334
Boid242,3.861458,0.3533334
Boid243,1.0119,0.3533334
Boid244,3.982417,0.3533334
Boid245,1.284627,0.3533334
Boid246,3.660875,0.3533334
Boid247,4.709268,0.3533334
Boid248,4.181294,0.3533334
Boid249,3.883421,0.3533334
Boid0,2.157311,0.4348173
Boid1,4.714494,0.4348173
Boid2,4.181828,0.4348173
Boid3,2.02247,0.4348173
Boid4,2.729614,0.4348173
Boid5,4.68801,0.4348173
Boid6,3.203168,0.4348173
Boid7,4.323157,0.4348173
Boid8,1.561493,0.4348173
Boid9,1.697609,0.4348173
Boid10,3.978869,0.4348173
Boid11,2.27247,0.4348173
Boid12,4.828462,0.4348173
Boid13,4.305471,0.4348173
Boid14,4.731464,0.4348173
Boid15,3.554458,0.4348173
Boid16,1.88471,0.4348173
Boid17,4.43855,0.4348173
Boid18,3.606457,0.4348173
Boid19,1.032326,0.4348173
Boid20,3.889494,0.4348173
Boid21,4.532549,0.4348173
Boid22,1.182599,0.4348173
Boid23,3.17417,0.4348173
Boid24,4.915955,0.4348173
Boid25,4.151547,0.4348173
Boid26,2.106758,0.4348173
Boid27,1.292367,0.4348173
Boid28,4.061194,0.4348173
Boid29,3.540215,0.4348173
Boid30,4.757493,0.4348173
Boid31,3.991935,0.4348173
Boid32,3.311476,0.4348173
Boid33,1.650854,0.4348173
Boid34,3.643023,0.4348173
Boid35,4.902738,0.4348173
Boid36,4.942287,0.4348173
Boid37,2.426536,0.4348173
Boid38,4.41496,0.4348173
Boid39,3.82948,0.4348173
Boid40,2.46432,0.4348173
Boid41,3.127838,0.4348173
Boid42,4.370028,0.4348173
Boid43,4.92501,0.4348173
Boid44,1.362833,0.4348173
Boid45,3.597049,0.4348173
Boid46,2.054266,0.4348173
Boid47,1.637766,0.4348173
Boid48,3.423847,0.4348173
Boid49,1.741691,0.4348173
Boid50,2.672282,0.4348173
Boid51,2.282979,0.4348173
Boid52,3.716567,0.4348173
Boid53,2.418933,0.4348173
Boid54,3.2333,0.4348173
Boid55,4.591462,0.4348173
Boid56,4.666612,0.4348173
Boid57,2.283784,0.4348173
Boid58,1.391756,0.4348173
Boid59,1.467269,0.4348173
Boid60,3.827278,0.4348173
Boid61,4.996879,0.4348173
Boid62,4.140676,0.4348173
Boid63,2.01684,0.4348173
Boid64,3.140897,0.4348173
Boid65,4.75962,0.4348173
Boid66,4.309749,0.4348173
Boid67,1.14763,0.4348173
Boid68,1.177806,0.4348173
Boid69,3.300339,0.4348173
Boid70,3.593145,0.4348173
Boid71,3.394377,0.4348173
Boid72,3.002734,0.4348173
Boid73,3.144584,0.4348173
Boid74,1.065052,0.4348173
Boid75,3.681582,0.4348173
Boid76,2.048303,0.4348173
Boid77,4.314159,0.4348173
Boid78,2.840355,0.4348173
Boid79,2.693968,0.4348173
Boid80,3.336099,0.4348173
Boid81,1.903369,0.4348173
Boid82,2.173732,0.4348173
Boid83,3.687311,0.4348173
Boid84,1.608279,0.4348173
Boid85,2.371109,0.4348173
Boid86,4.783115,0.4348173
Boid87,2.604829,0.4348173
Boid88,3.208814,0.4348173
Boid89,1.501752,0.4348173
Boid90,4.740035,0.4348173
Boid91,3.25014,0.4348173
Boid92,3.542784,0.4348173
Boid93,3.530783,0.4348173
Boid94,4.489931,0.4348173
Boid95,2.603576,0.4348173
Boid96,4.430046,0.4348173
Boid97,3.452953,0.4348173
Boid98,1.99356,0.4348173
Boid99,1.226824,0.4348173
Boid100,3.923663,0.4348173
Boid101,3.262967,0.4348173
Boid102,4.939703,0.4348173
Boid103,4.640312,0.4348173
Boid104,2.715305,0.4348173
Boid105,3.183306,0.4348173
Boid106,1.07438,0.4348173
Boid107,4.872893,0.4348173
Boid108,3.359982,0.4348173
Boid109,1.259269,0.4348173
Boid110,4.974291,0.4348173
Boid111,2.145154,0.4348173
Boid112,1.207004,0.4348173
Boid113,4.339935,0.4348173
Boid114,1.058243,0.4348173
Boid115,4.865167,0.4348173
Boid116,2.34057,0.4348173
Boid117,2.64387,0.4348173
Boid118,1.365425,0.4348173
Boid119,4.799177,0.4348173
Boid120,2.418952,0.4348173
Boid121,1.944672,0.4348173
Boid122,4.14337,0.4348173
Boid123,1.676551,0.4348173
Boid124,1.526999,0.4348173
Boid125,4.802323,0.4348173
Boid126,2.222033,0.4348173
Boid127,1.967408,0.4348173
Boid128,2.816913,0.4348173
Boid129,1.549089,0.4348173
Boid130,2.3428,0.4348173
Boid131,1.207318,0.4348173
Boid132,4.898398,0.4348173
Boid133,4.724113,0.4348173
Boid134,1.220582,0.4348173
Boid135,4.515354,0.4348173
Boid136,2.098044,0.4348173
Boid137,1.463173,0.4348173
Boid138,4.441423,0.4348173
Boid139,2.732686,0.4348173
Boid140,1.078391,0.4348173
Boid141,4.853116,0.4348173
Boid142,4.285097,0.4348173
Boid143,2.985359,0.4348173
Boid144,4.903851,0.4348173
Boid145,1.796133,0.4348173
Boid146,1.763124,0.4348173
Boid147,2.721557,0.4348173
Boid148,2.571845,0.4348173
Boid149,2.27055,0.4348173
Boid150,2.892233,0.4348173
Boid151,3.233851,0.4348173
Boid152,3.861197,0.4348173
Boid153,4.027596,0.4348173
Boid154,1.66483,0.4348173
Boid155,1.361282,0.4348173
Boid156,1.466497,0.4348173
Boid157,3.920265,0.4348173
Boid158,3.63414,0.4348173
Boid159,4.945251,0.4348173
Boid160,3.076093,0.4348173
Boid161,4.27176,0.4348173
Boid162,4.377292,0.4348173
Boid163,4.025424,0.4348173
Boid164,4.431474,0.4348173
Boid165,1.675034,0.4348173
Boid166,3.448106,0.4348173
Boid167,4.07124,0.4348173
Boid168,4.281734,0.4348173
Boid169,4.01086,0.4348173
Boid170,2.671548,0.4348173
Boid171,4.302227,0.4348173
Boid172,3.654458,0.4348173
Boid173,2.037217,0.4348173
Boid174,2.299644,0.4348173
Boid175,2.413625,0.4348173
Boid176,4.049218,0.4348173
Boid177,2.300763,0.4348173
Boid178,3.293268,0.4348173
Boid179,4.415053,0.4348173
Boid180,1.272218,0.4348173
Boid181,4.380872,0.4348173
Boid182,4.953176,0.4348173
Boid183,3.521978,0.4348173
Boid184,3.785547,0.4348173
Boid185,1.615283,0.4348173
Boid186,1.659989,0.4348173
Boid187,4.394323,0.4348173
Boid188,3.763783,0.4348173
Boid189,3.451619,0.4348173
Boid190,4.206833,0.4348173
Boid191,4.681228,0.4348173
Boid192,4.644599,0.4348173
Boid193,3.492198,0.4348173
Boid194,2.915881,0.4348173
Boid195,3.889007,0.4348173
Boid196,1.305311,0.4348173
Boid197,3.529446,0.4348173
Boid198,4.980008,0.4348173
Boid199,2.329367,0.4348173
Boid200,1.968829,0.4348173
Boid201,1.425413,0.4348173
Boid202,3.017948,0.4348173
Boid203,3.830806,0.4348173
Boid204,1.804259,0.4348173
Boid205,4.676122,0.4348173
Boid206,1.508978,0.4348173
Boid207,4.282968,0.4348173
Boid208,3.976433,0.4348173
Boid209,1.707107,0.4348173
Boid210,4.588768,0.4348173
Boid211,1.665727,0.4348173
Boid212,2.945454,0.4348173
Boid213,3.297035,0.4348173
Boid214,4.902811,0.4348173
Boid215,2.776367,0.4348173
