Boid,Speed
Boid73,852.3297
Boid74,62.8747
Boid75,438.1011
Boid76,652.3242
Boid77,716.7422
Boid78,869.6048
Boid79,772.0377
Boid80,648.5043
Boid81,163.2341
Boid82,260.4898
Boid83,519.9097
Boid84,525.4185
Boid85,692.8296
Boid86,823.8492
Boid87,438.8143
Boid88,171.1248
Boid89,727.4117
Boid90,236.1544
Boid91,866.7526
Boid92,613.692
Boid93,402.0934
Boid94,930.4953
Boid95,503.6685
Boid96,253.6476
Boid97,668.7703
Boid98,276.6434
Boid99,603.8234
Boid100,422.3921
Boid101,790.8248
Boid102,503.1377
Boid103,349.6259
Boid104,236.4806
Boid105,627.772
Boid106,325.6651
Boid107,601.078
Boid108,819.981
Boid109,470.2498
Boid110,596.2645
Boid111,514.1595
Boid112,162.9014
Boid113,46.14856
Boid114,486.721
Boid115,708.16
Boid116,607.0021
Boid117,649.1307
Boid118,286.9514
Boid119,610.9584
Boid120,162.9204
Boid121,577.6321
Boid122,842.9128
Boid123,169.9198
Boid124,520.6285
Boid125,237.8898
Boid126,320.5452
Boid127,712.3931
Boid128,734.4532
Boid129,341.8174
Boid130,564.2815
Boid131,499.1684
Boid132,426.5453
Boid133,401.3181
Boid134,442.4465
Boid135,595.8671
Boid136,227.8165
Boid137,495.7331
Boid138,83.90841
Boid139,283.5309
Boid140,635.1998
Boid141,357.1559
Boid142,433.9979
Boid143,489.0103
Boid144,866.9182
Boid145,648.7597
Boid146,588.905
Boid147,206.9469
Boid148,261.47
Boid149,737.1343
Boid150,930.7762
Boid151,891.7024
Boid152,575.3533
Boid153,393.6404
Boid154,929.0961
Boid155,736.4471
Boid156,531.4781
Boid157,518.8586
Boid158,905.9628
Boid159,777.4274
Boid160,782.3954
Boid161,508.6283
Boid162,731.5356
Boid163,266.9758
Boid164,160.7121
Boid165,321.2255
Boid166,428.7281
Boid167,28.377
Boid168,685.9283
Boid169,480.4249
Boid170,431.7848
Boid171,508.4518
Boid172,998.382
Boid173,641.9717
Boid174,678.1472
Boid175,673.3344
Boid176,799.2346
Boid177,500.6595
Boid178,307.0056
Boid179,794.9695
Boid180,824.4158
Boid181,438.8186
Boid182,308.8024
Boid183,502.6665
Boid184,646.6048
Boid185,802.6016
Boid186,448.4503
Boid187,1018.321
Boid188,907.513
Boid189,972.7178
Boid190,607.5121
Boid191,409.9173
Boid192,182.2897
Boid193,537.6977
Boid194,414.068
Boid195,970.8596
Boid196,853.7477
Boid197,662.6383
Boid198,75.53036
Boid199,177.452
Boid200,195.5112
Boid201,532.1582
Boid202,629.9291
Boid203,866.1901
Boid204,770.9285
Boid205,349.312
Boid206,470.9661
Boid207,454.6127
Boid208,399.8961
Boid209,204.6666
Boid210,508.7378
Boid211,922.5587
Boid212,449.9388
Boid213,491.0936
Boid214,701.61
Boid215,370.5846
Boid216,294.0936
Boid217,692.0743
Boid218,838.431
Boid219,634.058
Boid220,640.1938
Boid221,316.9063
Boid222,533.9816
Boid223,241.5872
Boid224,146.2624
Boid225,554.6506
Boid226,717.5219
Boid227,1009.966
Boid228,966.0383
Boid229,777.9811
Boid230,923.1904
Boid231,515.2101
Boid232,757.2049
Boid233,647.7957
Boid234,350.583
Boid235,636.9269
Boid236,365.3877
Boid237,353.5043
Boid238,543.5269
Boid239,213.6778
Boid240,758.1265
Boid241,699.2468
Boid242,434.6121
Boid243,680.5023
Boid244,679.4684
Boid245,349.9496
Boid246,581.5705
Boid247,601.9302
Boid248,200.3575
Boid249,492.0088
Boid0,592.201
Boid1,1206.154
Boid2,924.8063
Boid3,162.6095
Boid4,247.2704
Boid5,1206.409
Boid6,263.3999
Boid7,288.054
Boid8,189.9062
